hash|author|date|comment
d06e3aff|vue-bot|Tue Feb 5 11:26:42 2019 -0500|chore: update backers [ci skip] (#9423)
ee9b684d|Evan You|Mon Feb 4 22:52:44 2019 -0500|build: release 2.6.2
22795094|Evan You|Mon Feb 4 22:52:39 2019 -0500|build: build 2.6.2
44a4ca33|Evan You|Mon Feb 4 22:39:35 2019 -0500|fix: restore slot-scope + v-if behavior
0129b0eb|Evan You|Mon Feb 4 22:25:19 2019 -0500|feat: expose all scoped slots on this.$slots
b034abf4|Evan You|Mon Feb 4 22:03:33 2019 -0500|fix: always set transformed model value on attrs
1a6f7a57|Evan You|Mon Feb 4 17:51:36 2019 -0500|build: release 2.6.1
6fb3a221|Evan You|Mon Feb 4 17:51:32 2019 -0500|build: build 2.6.1
66fd3c8d|Bogdan Luca|Tue Feb 5 00:43:48 2019 +0200|fix(v-model): add value to $attrs if not defined in props (#9331)
0fb03b78|nciont|Tue Feb 5 01:39:41 2019 +0300|fix: avoid blocking first input event in IE when it shouldn't (#9297)
55bfb94a|Filipe Amaral|Mon Feb 4 19:49:27 2019 -0200|fix(compiler): fix inline-template crashing (#9365)
c27fe24d|bughit|Mon Feb 4 16:48:24 2019 -0500|fix: decode single quotes in html attributes (#9341)
1922e7d4|Barthélémy Ledoux|Mon Feb 4 15:34:32 2019 -0600|fix(template-compiler): allow comments on the root node in templates (#9408)
b6b42ca8|Evan You|Mon Feb 4 15:14:29 2019 -0500|fix: avoid isPromise check when handler return value is Vue instance
85548310|Evan You|Mon Feb 4 10:57:04 2019 -0500|build: release 2.6.0
076dc8d8|Evan You|Mon Feb 4 10:57:00 2019 -0500|build: build 2.6.0
9b33f206|vue-bot|Sat Feb 2 10:53:46 2019 -0500|chore: update sponsors [ci skip] (#9405)
64f863bb|Evan You|Sat Feb 2 10:49:01 2019 -0500|feat: move v-bind.prop shorthand behind flag
44a17ba2|Evan You|Thu Jan 31 10:24:41 2019 -0500|fix: fix child forceUpdate regression
539e481f|Filipe Amaral|Thu Jan 31 13:08:35 2019 -0200|fix: fix v-bind:style for camelCase properties with !important  (#9386)
e1db2c5b|vue-bot|Thu Jan 31 10:04:43 2019 -0500|chore: update sponsors [ci skip] (#9400)
e632e9a0|Evan You|Thu Jan 31 09:56:18 2019 -0500|fix: allow more enumerated values for contenteditable
6afd96f2|Evan You|Wed Jan 30 21:41:56 2019 -0500|chore: fix flow
3edb9992|Evan You|Wed Jan 30 21:33:59 2019 -0500|polish: warn against incorrect nested v-slot usage
2807fd24|Evan You|Wed Jan 30 21:30:29 2019 -0500|fix: template v-slot should work with v-else conditions
5851961c|Evan You|Wed Jan 30 18:12:18 2019 -0500|refactor: adjust codegen for v-if on scoped slot
7721febc|Evan You|Wed Jan 30 09:59:37 2019 -0500|build: release 2.6.0-beta.3
9f3cbafa|Evan You|Wed Jan 30 09:59:32 2019 -0500|build: build 2.6.0-beta.3
2afa1d05|Evan You|Wed Jan 30 09:47:31 2019 -0500|build: fix feature flags for esm builds
c9e3a5d1|Evan You|Mon Jan 28 18:08:37 2019 -0500|feat: detect and warn invalid dynamic argument expressions
624c7993|Evan You|Fri Jan 25 23:38:40 2019 -0500|build: release 2.6.0-beta.2
90f47d1b|Evan You|Fri Jan 25 23:38:36 2019 -0500|build: build 2.6.0-beta.2
dbc05825|Evan You|Fri Jan 25 23:21:58 2019 -0500|feat: dynamic directive arguments for v-on, v-bind and custom directives (#9373)
f219beda|Evan You|Fri Jan 25 22:34:06 2019 -0500|perf: improve scoped slots change detection accuracy (#9371)
770c6ed6|Evan You|Thu Jan 24 15:47:58 2019 -0500|refactor: extend dom-props update skip to more all keys except value
18685614|Evan You|Thu Jan 24 15:43:06 2019 -0500|fix: fix checkbox event edge case in Firefox
8cb2069a|Evan You|Thu Jan 24 10:05:39 2019 -0500|test: fix tests in IE/Edge
32072e8a|Evan You|Thu Jan 24 10:05:20 2019 -0500|refactor: simplify timestamp check
60a277ca|Evan You|Wed Jan 23 18:44:21 2019 -0500|chore: update comment
ba0ebd47|Evan You|Wed Jan 23 18:41:50 2019 -0500|fix: async edge case fix should apply to more browsers
ba9907c7|Evan You|Wed Jan 23 15:07:24 2019 -0500|chore: update sponsor
8d845724|Evan You|Wed Jan 23 10:20:01 2019 -0500|feat: warning for ambiguous v-slot usage
67e85dea|Evan You|Tue Jan 22 22:21:24 2019 -0500|feat: adjust v-slot per RFC + enable flag
ec840320|yong|Sun Jan 20 00:28:19 2019 +0800|chore: update README in dist (#9346)
6ca18bd0|vue-bot|Sat Jan 19 08:37:22 2019 -0500|chore: update sponsors [ci skip] (#9343)
b0f2f830|Evan You|Fri Jan 18 16:46:49 2019 -0500|chore: fix flow
42fdf3f8|Evan You|Fri Jan 18 16:43:17 2019 -0500|refactor: ssrPrefetch -> serverPrefetch for more consistent naming
df064ced|Evan You|Fri Jan 18 11:25:37 2019 -0500|test: tests for ssr template function (#9324)
b65f6d78|DominusVilicus|Sat Jan 19 02:50:07 2019 +1030|feat(ssr): allow template option to be function in renderToString (#9324)
4fca0454|Evan You|Wed Jan 16 13:44:58 2019 -0500|feat: update new slot syntax per RFC revision
a47a0ee2|Evan You|Wed Jan 16 11:22:02 2019 -0500|workflow: fix release script [ci skip]
732bf878|Evan You|Wed Jan 16 11:21:07 2019 -0500|build: release 2.6.0-beta.1
e75c6230|Evan You|Wed Jan 16 11:20:25 2019 -0500|build: build v2.6.0-beta.1
730a10f7|Evan You|Tue Jan 15 17:41:42 2019 -0500|types: type sync for template-compiler and server-renderer
7fb6fdd1|Evan You|Tue Jan 15 16:22:06 2019 -0500|build: introduce feature flags, hide new slot syntax behind flag
0cf6aadd|Evan You|Tue Jan 15 12:38:58 2019 -0500|types: type sync for 2.6 features
9ae80acd|Evan You|Tue Jan 15 11:41:00 2019 -0500|feat: expose performance measures
c5c354d5|Evan You|Mon Jan 14 22:56:37 2019 -0500|feat: new scoped slot syntax implementation update per rfc
aef5b4e4|Evan You|Sat Jan 12 02:07:17 2019 -0500|fix(ssr): should render 0 as valid value for style property with unit
584e89da|Evan You|Sat Jan 12 01:23:51 2019 -0500|feat: support slot-props and its shorthand
4f61d5b7|Evan You|Sat Jan 12 00:42:09 2019 -0500|chore: fix flow
bc97ff95|Evan You|Sat Jan 12 00:32:56 2019 -0500|chore: reset CommonJS dist files overwritten by merge
794ad0da|Evan You|Fri Jan 11 23:09:31 2019 -0500|refactor: additional tweaks after revert
6a2994e8|Evan You|Fri Jan 11 23:04:04 2019 -0500|revert: feat: support scoped-slot usage with $slot
6fe07ebf|Evan You|Fri Jan 11 18:26:32 2019 -0500|chore: merge branch '2.6' into dev
99343f9b|Evan You|Fri Jan 11 18:18:31 2019 -0500|build: release 2.5.22
06dbb2ab|Evan You|Fri Jan 11 18:18:26 2019 -0500|build: build 2.5.22
7ac8f63a|Evan You|Fri Jan 11 18:13:13 2019 -0500|chore: remove residual files from dist
0d2e9c46|Evan You|Fri Jan 11 17:51:45 2019 -0500|fix(core): dedupe lifecycle hooks during options merge
edf7df0c|Evan You|Fri Jan 11 17:51:45 2019 -0500|fix(core): dedupe lifecycle hooks during options merge
743edacd|hikerpig|Fri Jan 11 05:10:54 2019 +0800|fix(core): fix merged twice bug when passing extended constructor to mixins (#9199)
d21e9313|Adrien Baron|Fri Jan 11 21:46:25 2019 +0100|fix(async component): memory leak after synchronous async loading (#9275)
17d8bcb6|Evan You|Fri Jan 11 14:54:10 2019 -0500|fix(ssr): should not render invalid numeric style values
7d9cfebe|Evan You|Fri Jan 11 11:07:40 2019 -0500|fix(ssr): properly handle invalid and numeric style properties
fe2b27ff|Evan You|Thu Jan 10 22:44:55 2019 -0500|types: typing for Vue.observable
142cf6c4|Evan You|Thu Jan 10 18:19:23 2019 -0500|types: update typing for vue-template-compiler
a4ed58c0|Evan You|Thu Jan 10 17:58:06 2019 -0500|feat(compiler): expose generateCodeFrame method
53716177|hikerpig|Fri Jan 11 05:10:54 2019 +0800|fix(core): fix merged twice bug when passing extended constructor to mixins (#9199)
c50bbde4|Evan You|Thu Jan 10 16:03:03 2019 -0500|feat: add Vue.observable() for explicitly creating observable objects
ce7ca7bd|Evan You|Thu Jan 10 15:08:38 2019 -0500|refactor: should also fire handler if timestamp was same
3a1a9359|Evan You|Thu Jan 10 14:25:09 2019 -0500|refactor: do not override scoped slots when exposing normal slots
3504d7f6|Evan You|Thu Jan 10 14:21:31 2019 -0500|refactor: better solution for async edge case.
90fe7490|Evan You|Thu Jan 10 12:44:31 2019 -0500|build: trigger regression tests from 2.6 feature branch
b32c4b69|Evan You|Thu Jan 10 12:32:06 2019 -0500|fix: ensure proxied normal slot uses correct key
d8550277|Evan You|Thu Jan 10 11:18:06 2019 -0500|test: more test cases for $slot usage detection
1e5174d2|Evan You|Thu Jan 10 10:33:02 2019 -0500|test: add more test case for watch option
8b382b3e|Evan You|Wed Jan 9 23:46:38 2019 -0500|fix: allow _ in watch paths (element compat)
5fb23d4e|Evan You|Wed Jan 9 22:47:11 2019 -0500|fix: ensure only nromalize a scoped slot when it is present
4c2c6f03|Evan You|Wed Jan 9 22:26:54 2019 -0500|build: fix dev:cjs script
8eea6b07|Evan You|Wed Jan 9 22:03:51 2019 -0500|refactor: avoid using immutable object for $slot
3be1c5d6|Evan You|Wed Jan 9 20:09:50 2019 -0500|feat(config): expose config.useEventDelegation and default to false
02f897a4|Evan You|Wed Jan 9 17:41:37 2019 -0500|chore: fix flow
d2902ca8|Evan You|Wed Jan 9 17:31:04 2019 -0500|feat: support .property shorthand syntax for v-bind.prop modifier
23a14595|Evan You|Wed Jan 9 16:35:39 2019 -0500|refactor: adjust #7941 for slots unification
fb6aa060|Eduardo San Martin Morote|Wed Jan 9 22:18:14 2019 +0100|feat(functional): add scopedSlots to context in functional components (#7941)
