hash|author|date|comment
d7afe23f1|Sebastian Markbåge|Tue May 21 14:29:41 2019 -0700|Rename "loading" to "busy" in SuspenseConfig API (#15699)
ef4ac42f8|Dominic Gannaway|Tue May 21 22:03:45 2019 +0100|[Flare] Update interactiveUpdates flushing heuristics (#15687)
6d4f85b61|Dan Abramov|Tue May 21 21:54:10 2019 +0100|[Fresh] Set up infra for runtime and Babel plugin (#15698)
121acae09|Dominic Gannaway|Tue May 21 16:06:17 2019 +0100|Flare: simplify dispatchEvent discrete argument (#15694)
a398cbd5a|Dominic Gannaway|Tue May 21 14:12:19 2019 +0100|Flare: update invalid accessor warnings + add no-ops (#15693)
9c9ea9485|Sunil Pai|Tue May 21 10:41:24 2019 +0100|flush only on exiting outermost act() (#15682)
50b50c26f|Brian Vaughn|Mon May 20 08:37:25 2019 -0700|Inform DevTools of commit priority level (#15664)
0bd9b5d00|Dan Abramov|Mon May 20 15:47:27 2019 +0100|[Fresh] Support re-rendering lazy() without losing state (#15686)
ec38def44|Dan Abramov|Mon May 20 14:55:01 2019 +0100|[Fresh] Don't traverse remounted trees (#15685)
5731e522d|Dan Abramov|Mon May 20 14:11:18 2019 +0100|[Fresh] Support lazy() and add Suspense tests (#15681)
31487dd82|Dan Abramov|Sat May 18 01:38:13 2019 +0100|[Fresh] Set up initial scaffolding (#15619)
9c6de716d|Sebastian Markbåge|Thu May 16 16:51:18 2019 -0700|Add withSuspenseConfig API (#15593)
1160b3769|Dominic Gannaway|Thu May 16 19:03:38 2019 +0100|Event API: Add responder allowMultipleHostChildren flag (#15646)
95e06ac3d|Dominic Gannaway|Thu May 16 18:59:59 2019 +0100|Event API: isTargetWithinEventResponderScope on unmounted event components (#15672)
d278a3ff8|Sunil Pai|Thu May 16 17:12:36 2019 +0100|`act()` - s / flushPassiveEffects / Scheduler.unstable_flushWithoutYielding (#15591)
aad5a264d|Dominic Gannaway|Thu May 16 17:09:41 2019 +0100|Event API: ensure calculateResponderRegion accounts for page offset (#15671)
bb89b4eac|Dan Abramov|Thu May 16 11:12:05 2019 +0100|Bail out of updates in offscreen trees (#15666)
4bf88ddec|Andrew Cherniavskii|Thu May 16 11:05:20 2019 +0200|Fix <embed> not triggering onLoad (#15614)
f961050a3|Andrew Clark|Wed May 15 18:11:44 2019 -0700|Always flushPassiveEffects before rendering
b899819e7|Andrew Clark|Wed May 15 14:55:50 2019 -0700|Use dynamic flag in test renderer in www (#15662)
d34b457ce|Andrew Clark|Wed May 15 13:38:06 2019 -0700|Feature flag to revert #15650 (#15659)
668fbd651|Andrew Clark|Tue May 14 18:08:10 2019 -0700|Fix serial passive effects (#15650)
b0657fde6|Dominic Gannaway|Wed May 15 01:08:30 2019 +0100|Event API: ensure getFocusableElementsInScope handles suspended trees (#15651)
8af90c897|Sebastian Markbåge|Tue May 14 14:41:45 2019 -0700|Add test for nested avoided boundaries (#15636)
af19e2eb2|Dominic Gannaway|Tue May 14 15:59:36 2019 +0100|Event API: adds pointerType to Focus events (#15645)
cc24d0ea5|Andrew Clark|Mon May 13 16:15:50 2019 -0700|Invariant that throws when committing wrong tree (#15517)
83fc258f2|Andrew Clark|Mon May 13 16:10:00 2019 -0700|Remove <ConcurrentMode /> (#15532)
283ce5320|Andrew Clark|Mon May 13 15:30:03 2019 -0700|Add ReactDOM.unstable_createSyncRoot (#15504)
862f499fa|Andrew Clark|Mon May 13 14:30:39 2019 -0700|Add Batched Mode (#15502)
fec74f99d|Dominic Gannaway|Mon May 13 13:45:48 2019 +0100|Event API: ensure preventDefault works for nested targets (#15633)
edfedf3ae|Andrew Clark|Fri May 10 13:51:39 2019 -0700|Fork ReactSharedInternals for UMD builds (#15617)
39ef609e7|Andrew Clark|Fri May 10 11:12:24 2019 -0700|Update test to fix CI
5b6eb55e1|Andrew Clark|Fri May 10 11:01:04 2019 -0700|Remove scheduler from React package dependencies (#15616)
0803d2247|Sebastian Markbåge|Fri May 10 10:53:20 2019 -0700|Don't consider "Never" expiration as part of most recent event time (#15606)
90f54d77f|Dominic Gannaway|Fri May 10 13:36:54 2019 +0100|Event API: add follow up event unwind test (#15612)
91a044e31|Dominic Gannaway|Fri May 10 13:32:11 2019 +0100|Event API: add key modifiers to Press events (#15611)
3d8b836e2|Dominic Gannaway|Thu May 9 17:01:18 2019 +0100|Event API: ensure we pop context for event system fibers (#15599)
e33e32db0|Dominic Gannaway|Thu May 9 16:05:25 2019 +0100|Event API: normalize event timeStamp property to be in event system (#15598)
3669b9010|Dominic Gannaway|Thu May 9 15:31:18 2019 +0100|Event API: add more warnings for responder based events (#15597)
05d08500b|Dominic Gannaway|Wed May 8 20:29:03 2019 +0100|Experimental Event API: Press event properties (#15586)
51e66cf9f|Dominic Gannaway|Wed May 8 19:09:32 2019 +0100|Experimental Event API: reduce code size of event modules (#15590)
8abf243b8|Dominic Gannaway|Wed May 8 19:08:15 2019 +0100|Ensure touch events are properly handled for pageX and pageY (#15587)
c7398f339|Sebastian Markbåge|Tue May 7 18:08:05 2019 -0700|Add Suspense Boundary Context (and unstable_avoidThisFallback) (#15578)
f9e60c8a1|Andrew Clark|Tue May 7 16:50:04 2019 -0700|Warn when suspending at wrong priority (#15492)
89d8d1435|Nicolas Gallagher|Tue May 7 12:36:42 2019 -0700|Add React.unstable_createEventComponent (#15580)
6da04b5d8|Brian Vaughn|Mon May 6 12:59:48 2019 -0700|Fix interaction tracing for batched update mounts (#15567)
d38cfd452|Dominic Gannaway|Mon May 6 20:13:23 2019 +0100|Ensure TouchHitTarget element is server side rendered with hit slop (#15385)
2e5d1a8b9|Nicolas Gallagher|Fri May 3 15:33:21 2019 -0700|React Events: fix cancel events for Press (#15563)
307e0a7d7|Nicolas Gallagher|Fri May 3 12:59:55 2019 -0700|React Events: cancel onLongPress for large enough moves (#15562)
339366c46|Dominic Gannaway|Fri May 3 18:32:50 2019 +0100|Event API: Support press reentry for pointer events (#15560)
ec6691a68|Dominic Gannaway|Tue Apr 30 17:38:48 2019 +0100|Event API: remove isTargetDirectlyWithinEventComponent (#15546)
a6e30001f|Dominic Gannaway|Tue Apr 30 12:20:44 2019 +0100|Delete duplicate Focus.js (#15540)
f7993d547|Dominic Gannaway|Tue Apr 30 12:13:07 2019 +0100|Delete duplicate Hover.js (#15539)
c8ee10037|Dominic Gannaway|Tue Apr 30 12:11:26 2019 +0100|Delete duplicate Swipe.js (#15541)
494716c9b|Dominic Gannaway|Tue Apr 30 12:07:24 2019 +0100|Delete duplicate Drag.js (#15537)
377846fef|Dominic Gannaway|Tue Apr 30 12:06:44 2019 +0100|Delete duplicate Press.js (#15538)
379515e83|Dominic Gannaway|Tue Apr 30 12:04:19 2019 +0100|Follow up to 15535 (#15536)
bd88982fb|Dominic Gannaway|Tue Apr 30 11:40:45 2019 +0100|Event API: use `capture` for all event listeners using experimental responder system (#15526)
72ca3c60e|Andrew Clark|Mon Apr 29 18:10:11 2019 -0700|Bump scheduler version to 0.14.0 (#15395)
7882c41f6|Andrew Clark|Mon Apr 29 16:25:56 2019 -0700|Use lowercase entry points for event modules (#15535)
43c4e5f34|Nathan Schloss|Thu Jan 31 12:11:31 2019 -0500|Add method for forcing a lower framerate
1b752f191|Brian Vaughn|Mon Apr 29 15:04:52 2019 -0700|Fixed potential interaction tracing leak in Suspense thennable memoization (#15531)
12e5a13cf|Eli White|Mon Apr 29 14:31:16 2019 -0700|[React Native] Inline calls to FabricUIManager in shared code (#15490)
2cca18728|Nicolas Gallagher|Mon Apr 29 13:52:15 2019 -0700|React Events: add onFocusVisibleChange to Focus (#15516)
cc5a49379|Nicolas Gallagher|Fri Apr 26 13:38:01 2019 -0700|React Events: FocusScope tweaks and docs (#15515)
796c67a25|Dominic Gannaway|Fri Apr 26 21:33:54 2019 +0100|Event API: responder event types should not re-register on EventComponent update (#15514)
c4d1dcb53|Dominic Gannaway|Fri Apr 26 15:47:28 2019 +0100|React Events: core API documentation followup (#15506)
41ef1961c|Dan Nate|Fri Apr 26 08:58:32 2019 -0400|Update TopLevelEventTypes.js (#15511)
