hash|author|date|comment
dc613b336|Olivier Combe|Thu Jun 20 20:51:56 2019 +0200|refactor(ivy): removing unused properties from i18n interfaces (#31171)
7ff628f8d|Olivier Combe|Tue Jun 18 17:58:15 2019 +0200|refactor(ivy): make `bind` an internal-only function (#31131)
3fb78aaac|Pete Bacon Darwin|Fri Mar 22 09:42:52 2019 +0000|feat(upgrade): provide unit test helpers for wiring up injectors (#16848)
5e53956c2|Pete Bacon Darwin|Fri Mar 22 09:42:52 2019 +0000|fix(compiler): stringify `Object.create(null)` tokens (#16848)
fad03c3c1|Alex Rickabaugh|Thu Jun 20 13:15:57 2019 -0700|refactor: early compatibility with TypeScript 3.5 (#31174)
34eaafdf4|Joey Perrott|Thu Jun 20 13:31:05 2019 -0700|build: correct zone.js bazel test visibilty rule (#31175)
bf7d04626|Alex Eagle|Thu Jun 20 11:53:45 2019 -0700|style: fix bazel lint in zone.js (#31172)
5eb742621|JiaLiPassion|Sat Jun 1 00:56:07 2019 +0900|build: move zone.js to angular repo (#30962)
7b3bcc23a|Paul Gschwendtner|Thu Jun 20 18:13:33 2019 +0200|build: user bazelrc should be able to overwrite all flags (#31164)
b356fb01d|George Kalpakas|Wed Jun 19 18:31:01 2019 +0300|build(docs-infra): upgrade @angular/cli to 8.1.0-beta.2 (#31137)
f2219081e|Ayaz Hafiz|Wed Jun 19 08:38:40 2019 -0700|refactor(compiler): allow parsing templates with custom leadingTriviaChars (#31136)
70ad91ed8|Paul Gschwendtner|Mon Jun 17 11:41:16 2019 +0200|refactor(compiler): recursive ast expression visitor not passing context (#31085)
75ac72484|JoostK|Wed Jun 19 21:28:50 2019 +0200|fix(ivy): quote dots in directive inputs and outputs (#31146)
4c45aa39e|George Kalpakas|Wed Jun 19 19:05:54 2019 +0300|ci: re-enable payload size tracking (#31138)
c5d1e1a3d|Judy Bogart|Wed Jun 19 14:36:12 2019 -0700|docs: fix bad tag (#31115)
b1fe1aa8f|Judy Bogart|Wed Jun 19 12:32:19 2019 -0700|docs: fix bad anchors (#31115)
9177ffaf5|Judy Bogart|Wed Jun 19 11:37:41 2019 -0700|docs: fix code example formats (#31115)
f4fe1f65b|Judy Bogart|Tue Jun 18 12:40:25 2019 -0700|docs: add instructions for es5 serve and test targets (#31115)
029f1be20|Kristiyan Kostadinov|Tue Jun 18 16:29:08 2019 +0200|perf(ivy): avoid unnecessary function call in i18n instruction (#31106)
91008bd97|Matt Lewis|Fri May 31 19:26:40 2019 -0400|fix(ivy): improve error message when NgModule properties are not arrays (#30796)
f0395836b|Matt Lewis|Wed May 29 16:39:27 2019 -0400|fix(ivy): evaluate non existing property access as undefined (#30738)
4b16d9895|crisbeto|Wed Jun 19 19:50:42 2019 +0200|perf(ivy): chain multiple property instructions (#31078)
ab86a58f2|Judy Bogart|Mon Jun 17 09:27:11 2019 -0700|docs: remove inappropriate link (#31091)
4ec50811d|Keen Yee Liau|Tue Jun 18 16:55:53 2019 -0700|refactor(language-service): Remove NgLSHost -> NgLS dependency (#31122)
c34abf2cb|George Kalpakas|Fri Jun 14 14:39:13 2019 +0300|refactor(docs-infra): move auto-link filters to dedicated directory (#31051)
c6b180380|George Kalpakas|Fri Jun 14 14:02:56 2019 +0300|fix(docs-infra): do not auto-link `http://` to the `common/http` (#31051)
7814ef55c|Andrew Kushnir|Wed Jun 19 10:57:13 2019 -0700|release: cut the v8.1.0-next.3 release
f72772b03|Andrew Kushnir|Wed Jun 19 10:50:12 2019 -0700|docs: release notes for the v8.0.2 release
0bf810022|Schlemmer|Tue Jun 18 11:37:07 2019 +0200|docs: add core and cli version alignment note (#30976) docs: add core and cli version alignment note PR Close #30976
bc04d1842|Filipe Silva|Wed Jun 12 16:11:14 2019 +0100|test: update side-effects test to be more descriptive (#31005)
7a53b9090|Kara Erickson|Tue Jun 18 13:31:20 2019 -0700|ci: add jasonaden to forms owners (#31117)
db08fd260|Alex Eagle|Fri Mar 8 16:35:36 2019 -0800|build: enable shard_count for some jasmine tests that have many specs (#31009)
399833518|Paul Gschwendtner|Tue Jun 18 19:39:29 2019 +0200|build: update buildifier to version that supports windows (#31112)
f4cd2b75b|Judy Bogart|Mon Jun 17 09:43:13 2019 -0700|docs: add missing word in build and deploy guide to clarify sentence (#31093)
5909c442b|Vani|Fri May 31 16:38:32 2019 -0700|docs: update group() link to point to the animations group API (#30618)
f5fa9dc6b|Joey Perrott|Mon Jun 17 14:56:06 2019 -0700|ci: propagate xml results to CI (#31100)
87665fe32|George Kalpakas|Tue Jun 18 10:13:49 2019 +0000|build(docs-infra): upgrade cli command docs sources to ab6f36229 (#31102)
16ac611a8|Paul Gschwendtner|Mon Jun 17 19:55:02 2019 +0200|build: ts-api-guardian npm package contains invalid references (#31096)
beaab27a4|Ayaz Hafiz|Mon Jun 10 09:19:35 2019 -0700|feat(ivy): index identifiers discovered in templates (#30963)
87168acf3|Olivier Combe|Mon Jun 17 17:07:44 2019 +0200|refactor(ivy): move `bind` instruction into `i18nExp` (#31089)
65544ac74|Olivier Combe|Tue Jun 11 19:01:49 2019 +0200|fix(ivy): reprojected ICU expression nodes when creating embedded views (#30979)
57c4788bc|Brandon|Mon Jun 17 09:19:10 2019 -0500|docs: refresh TypeScript configuration guide with updated info and files (#31097)
7e49beb8c|Suguru Inatomi|Sun Jun 16 10:50:44 2019 +0900|docs: rewrite Observable examples with pipable operators (#31074)
036294d56|Schlemmer|Tue Jun 11 09:43:06 2019 +0200|docs: change interceptor documentation (#30969) PR Close #30969
98515e1ec|Enrico Graziani|Sun Jun 16 18:36:58 2019 +0100|docs: add mock heroes to the code review tabs for TOH pt. 2 (#31080)
c52ade287|Stefanie Fluin|Fri Jun 7 15:05:06 2019 -0700|fix(docs-infra): fix search result header color (#30924)
4adf95ed6|Paul Gschwendtner|Mon Jun 17 22:37:27 2019 +0200|ci: publish snapshots job is unable to decode github token (#31099)
